"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-84.106312,33.630992,"USA","Georgia",NA,4516918896,"Apiaceae","SPECIES",28930,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.594733,34.546796,"USA","Georgia",NA,3333282420,"Apiaceae","SPECIES",28818,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.20713,33.8615,"USA","Georgia",NA,3889145403,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.410832,34.160446,"USA","Georgia",NA,4430677903,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.002226,30.744943,"USA","Georgia",NA,3874185659,"Apiaceae","SPECIES",139,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-85.477638,34.78632,"USA","Georgia",NA,3859136457,"Apiaceae","SPECIES",16,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.382062,34.003473,"USA","Georgia",NA,2422976497,"Apiaceae","SPECIES",14,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.010681,34.482742,"USA","Georgia",NA,4909277669,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.873558,30.969767,"USA","Georgia",NA,3124845905,"Apiaceae","SPECIES",5,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400667,33.778878,"USA","Georgia",NA,3902929368,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.141432,32.008921,"USA","Georgia",NA,3059005843,"Apiaceae","SPECIES",29146,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.647627,31.820918,"USA","Georgia",NA,3902483278,"Apiaceae","SPECIES",31741,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.379997,33.900002,"USA","Georgia",NA,3320909803,"Apiaceae","SPECIES",90,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.636972,31.389366,"USA","Georgia",NA,4009828212,"Apiaceae","SPECIES",2061,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.713113,33.098645,"USA","Georgia",NA,4952651898,"Apiaceae","SPECIES",168,2009,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.399966,33.779038,"USA","Georgia",NA,4946138071,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400384,33.779156,"USA","Georgia",NA,3902611841,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.068517,33.585109,"USA","Georgia",NA,4908043803,"Apiaceae","SPECIES",766,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
